frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
71,3.550000,0.841730475,0.158246413,0.792631745,0.207358360,0.179577261,0.224921107
72,3.600000,0.837065399,0.162911251,0.791968584,0.208021551,0.181945205,0.221297860
73,3.650000,0.842203498,0.157773897,0.786763012,0.213227049,0.189684033,0.194172740
74,3.700000,0.838032007,0.161943853,0.787978470,0.212011486,0.171517491,0.214277267
75,3.750000,0.842943430,0.157032430,0.795390427,0.204599455,0.188303143,0.204789102
76,3.800000,0.831595361,0.168378994,0.786638558,0.213351175,0.182885587,0.210741937
77,3.850000,0.839479327,0.160494715,0.793402374,0.206587285,0.175966531,0.213051796
78,3.900000,0.833208382,0.166766658,0.786163092,0.213826552,0.193993032,0.232056350
79,3.950000,0.827796698,0.172176495,0.783260882,0.216728583,0.164380103,0.217524618
80,4.000000,0.823445857,0.176527560,0.780894518,0.219094977,0.175237268,0.229039580
81,4.050000,0.819768786,0.180203959,0.778073728,0.221915677,0.166073859,0.210465312
82,4.100000,0.839442790,0.160531506,0.788370728,0.211618930,0.175659388,0.189580053
83,4.150000,0.846675694,0.153300568,0.785065055,0.214924544,0.187948793,0.199314892
84,4.200000,0.854691446,0.145284697,0.788190186,0.211799294,0.198950052,0.199259877
85,4.250000,0.840004265,0.159968749,0.785239995,0.214749187,0.172343075,0.218250632
86,4.300000,0.831861377,0.168110326,0.778453112,0.221535742,0.163477749,0.216581047
87,4.350000,0.817530096,0.182440579,0.774357855,0.225630939,0.160138726,0.234328717
88,4.400000,0.826826394,0.173144415,0.782223403,0.217765421,0.176503330,0.204752535
89,4.450000,0.819019258,0.180950671,0.771709859,0.228278816,0.170654267,0.207131386
90,4.500000,0.789233923,0.210734844,0.751737356,0.248251125,0.163982868,0.213584751
91,4.550000,0.799715519,0.200252876,0.756975412,0.243012935,0.184998512,0.208927333
92,4.600000,0.801259398,0.198707983,0.763946354,0.236041918,0.172044575,0.217546612
93,4.650000,0.786014557,0.213951752,0.748904586,0.251083314,0.173054814,0.204823732
94,4.700000,0.786168754,0.213797450,0.748267412,0.251720548,0.171405345,0.220691860
95,4.750000,0.799749553,0.200216532,0.757337093,0.242650881,0.187205791,0.215544462
96,4.800000,0.809194326,0.190771475,0.763474822,0.236512959,0.191557199,0.216644794
97,4.850000,0.812711775,0.187253609,0.765754580,0.234233111,0.190417290,0.205526441
98,4.900000,0.778857827,0.221107513,0.743859649,0.256127864,0.202407837,0.210905820
99,4.950000,0.798241973,0.201723799,0.746460140,0.253527552,0.179670960,0.185665071
100,5.000000,0.793475628,0.206489027,0.742383957,0.257603496,0.195758849,0.182864845
101,5.050000,0.781426072,0.218535960,0.742069364,0.257917821,0.174701124,0.189459950
102,5.100000,0.792560220,0.207402185,0.747288287,0.252698720,0.195804626,0.192557067
103,5.150000,0.810396552,0.189568147,0.752495289,0.247491613,0.219348729,0.184613883
104,5.200000,0.819053411,0.180911511,0.769792438,0.230195150,0.205350399,0.194042861
