frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
197,9.850000,0.956723571,0.043259978,0.960581541,0.039410882,0.086584978,0.150369927
198,9.900000,0.955125093,0.044857897,0.959555149,0.040437166,0.073289745,0.140279427
199,9.950000,0.975303054,0.024685476,0.966141582,0.033850912,0.140691862,0.148360804
200,10.000000,0.967475593,0.032508925,0.965178072,0.034814157,0.130771339,0.145960748
201,10.050000,0.961435854,0.038545243,0.964951515,0.035040740,0.113132089,0.140351772
202,10.100000,0.961667359,0.038316187,0.963179529,0.036812864,0.149535850,0.164923593
203,10.150000,0.965661168,0.034323473,0.964716673,0.035275456,0.175856456,0.147052824
204,10.200000,0.970169961,0.029816287,0.965300918,0.034691334,0.217608869,0.151781350
205,10.250000,0.964691162,0.035294447,0.960446835,0.039545435,0.194231912,0.146185473
206,10.300000,0.963804543,0.036180556,0.959628403,0.040363856,0.143171892,0.145299226
207,10.350000,0.961198568,0.038786653,0.955562949,0.044429261,0.116927199,0.144134462
208,10.400000,0.955286205,0.044698346,0.951589108,0.048402946,0.104009733,0.169840798
209,10.450000,0.957643390,0.042340469,0.953415871,0.046576288,0.091726594,0.150088817
210,10.500000,0.972570777,0.027416438,0.962945938,0.037046388,0.143248826,0.143929243
211,10.550000,0.989873707,0.010120860,0.975496233,0.024496954,0.758098841,0.179299176
212,10.600000,0.990096867,0.009897805,0.974763632,0.025229776,0.850058258,0.160607681
213,10.650000,0.990182996,0.009811816,0.971727908,0.028265486,0.878972888,0.159099743
214,10.700000,0.991288126,0.008706735,0.971764445,0.028228939,0.856150568,0.152592093
215,10.750000,0.992979944,0.007014873,0.966679633,0.033313703,0.762627125,0.146877378
216,10.800000,0.993854523,0.006140330,0.962011397,0.037981827,0.763418019,0.168357074
217,10.850000,0.994583905,0.005410899,0.962817490,0.037175715,0.729026020,0.165185288
218,10.900000,0.995370507,0.004624241,0.967503548,0.032489669,0.704936206,0.146916628
219,10.950000,0.996184707,0.003810023,0.969689548,0.030303741,0.712240636,0.155242965
220,11.000000,0.996828794,0.003165861,0.972533166,0.027460076,0.644831955,0.148760647
221,11.050000,0.997065723,0.002928856,0.970320225,0.029672980,0.520951569,0.146932691
222,11.100000,0.996529162,0.003465045,0.966762066,0.033231057,0.422923535,0.158137843
223,11.150000,0.995944023,0.004049943,0.962618351,0.037374653,0.355075449,0.157226652
224,11.200000,0.996504366,0.003489870,0.961904168,0.038088851,0.428529263,0.151626721
225,11.250000,0.993893802,0.006099108,0.953020871,0.046971817,0.306686968,0.144886076
226,11.300000,0.988323689,0.011667417,0.938567221,0.061425075,0.239055872,0.149652243
227,11.350000,0.981720269,0.018269219,0.926236689,0.073755108,0.193731174,0.148697078
228,11.400000,0.971841514,0.028145880,0.916264951,0.083726659,0.193094298,0.157510638
229,11.450000,0.960490286,0.039495148,0.904548764,0.095442727,0.182869121,0.165299505
230,11.500000,0.949953198,0.050031077,0.901209414,0.098782316,0.205939874,0.154669955
231,11.550000,0.947336793,0.052647330,0.908767283,0.091224395,0.187343150,0.163956583
232,11.600000,0.948929846,0.051055185,0.909671783,0.090319917,0.165148690,0.159536675
233,11.650000,0.935154855,0.064828649,0.903051019,0.096940540,0.130132720,0.162326619
234,11.700000,0.944127798,0.055856586,0.916442811,0.083549015,0.106138252,0.149893522
235,11.750000,0.935925782,0.064057566,0.915164888,0.084826797,0.077238701,0.164388597
236,11.800000,0.930282772,0.069700472,0.911048055,0.088943541,0.075019859,0.170609623
237,11.850000,0.920225918,0.079756588,0.905157268,0.094834305,0.081750602,0.187437668
238,11.900000,0.976883531,0.023109714,0.943004429,0.056988511,0.227887750,0.177913859
239,11.950000,0.954645336,0.045343246,0.928123355,0.071868852,0.139833421,0.148236752
240,12.000000,0.937008381,0.062977053,0.920089960,0.079902038,0.086697154,0.167093426
241,12.050000,0.975255787,0.024736997,0.943464220,0.056528702,0.250488609,0.158124417
242,12.100000,0.958620071,0.041368078,0.942004859,0.057987694,0.187399000,0.173263475
243,12.150000,0.952510655,0.047476031,0.940730631,0.059261873,0.154439777,0.156561330
244,12.200000,0.950456083,0.049529962,0.942253947,0.057738408,0.130694419,0.163756445
245,12.250000,0.944750965,0.055234134,0.939117789,0.060874432,0.102976687,0.158864558
246,12.300000,0.942502081,0.057483699,0.936169207,0.063822977,0.110446587,0.177483112
247,12.350000,0.931532025,0.068452179,0.928182185,0.071809866,0.093611367,0.156409428
248,12.400000,0.923475325,0.076507874,0.923838556,0.076153159,0.084754772,0.154550835
249,12.450000,0.919566751,0.080415867,0.921081781,0.078909971,0.083799034,0.157211870
250,12.500000,0.920344234,0.079637781,0.922080517,0.077911146,0.079910360,0.146962538
251,12.550000,0.915590703,0.084390618,0.919890702,0.080100931,0.067075334,0.158237636
252,12.600000,0.910129428,0.089851476,0.914848149,0.085143358,0.069292597,0.153798625
253,12.650000,0.907476723,0.092503779,0.912195027,0.087796435,0.068421111,0.158275485
254,12.700000,0.905579984,0.094400443,0.908367515,0.091623738,0.078448199,0.155367792
255,12.750000,0.911505640,0.088474602,0.912302732,0.087688543,0.076246940,0.161983281
256,12.800000,0.920608938,0.079373263,0.915253460,0.084737599,0.089906067,0.193185374
257,12.850000,0.908785582,0.091194734,0.905733049,0.094257943,0.077012002,0.168417275
258,12.900000,0.903923035,0.096056141,0.903064489,0.096926317,0.065682456,0.149010122
259,12.950000,0.911298037,0.088681400,0.908263743,0.091727130,0.078456163,0.129490569
260,13.000000,0.904016256,0.095962681,0.904548705,0.095442154,0.067883566,0.148667201
261,13.050000,0.902015567,0.097963065,0.900958776,0.099032104,0.072618254,0.141884506
262,13.100000,0.899906635,0.100071460,0.901499808,0.098491132,0.073236898,0.137886375
263,13.150000,0.893079758,0.106897801,0.895670772,0.104319960,0.082580566,0.144878432
264,13.200000,0.892038405,0.107938714,0.892383039,0.107607692,0.069578610,0.137037367
265,13.250000,0.891219020,0.108757950,0.891999722,0.107990898,0.076043382,0.140108392
266,13.300000,0.891703725,0.108273335,0.890898228,0.109092399,0.078204453,0.150953114
267,13.350000,0.889115334,0.110861242,0.887895882,0.112094477,0.083013907,0.163331255
