frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
87,4.350000,0.713448822,0.286510140,0.611361563,0.388622254,0.082093030,0.171500206
88,4.400000,0.709988534,0.289971083,0.605083048,0.394900978,0.094058663,0.145348102
89,4.450000,0.708320558,0.291638285,0.604804814,0.395179242,0.092149585,0.145245075
90,4.500000,0.692840517,0.307116002,0.600265384,0.399718195,0.076195091,0.156970292
91,4.550000,0.700784862,0.299172580,0.600180209,0.399803549,0.086330503,0.145930648
92,4.600000,0.695364296,0.304590374,0.596965313,0.403017968,0.077978373,0.139824212
93,4.650000,0.670712173,0.329243392,0.576630116,0.423353344,0.088375568,0.141539842
94,4.700000,0.661657691,0.338297129,0.571166813,0.428816855,0.085838675,0.138220131
95,4.750000,0.676305771,0.323647797,0.577772379,0.422210962,0.085691154,0.139927745
96,4.800000,0.692053854,0.307900399,0.589162588,0.410820544,0.084996223,0.142806888
97,4.850000,0.682569087,0.317384630,0.580479622,0.419503421,0.089627475,0.138822168
98,4.900000,0.681879044,0.318075985,0.580616891,0.419365644,0.110168338,0.176525891
99,4.950000,0.688541949,0.311411679,0.576873243,0.423109412,0.094289988,0.138799131
100,5.000000,0.689247727,0.310704708,0.585098863,0.414883763,0.095795006,0.120621234
101,5.050000,0.690763652,0.309188545,0.586647451,0.413335115,0.087072223,0.133326590
102,5.100000,0.705274522,0.294678837,0.596277416,0.403705180,0.096921265,0.132211745
103,5.150000,0.700651646,0.299302697,0.593395531,0.406586647,0.111502290,0.145894706
104,5.200000,0.701307237,0.298646539,0.599386930,0.400595993,0.089650512,0.139395833
105,5.250000,0.709044397,0.290908188,0.598095953,0.401886433,0.097321361,0.133956313
106,5.300000,0.691562593,0.308386803,0.590198100,0.409783989,0.102300525,0.139677942
107,5.350000,0.675449312,0.324497491,0.581407547,0.418574065,0.102144271,0.147625118
108,5.400000,0.635858178,0.364086837,0.564073563,0.435907543,0.096511364,0.168202311
109,5.450000,0.660904527,0.339042544,0.580870867,0.419110686,0.094856471,0.153533518
110,5.500000,0.656619310,0.343325675,0.579146981,0.420834363,0.087150097,0.159177721
111,5.550000,0.669751406,0.330193877,0.584429681,0.415551394,0.096629620,0.147664428
112,5.600000,0.664708197,0.335236490,0.591778100,0.408203095,0.079538614,0.151974529
113,5.650000,0.666375041,0.333570808,0.588521361,0.411459684,0.092921078,0.155424833
114,5.700000,0.668184221,0.331759989,0.591491222,0.408489704,0.090061963,0.146672845
115,5.750000,0.662726045,0.337216228,0.595632493,0.404348284,0.085687339,0.149877816
