frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
47,2.350000,0.746490538,0.253488600,0.693510592,0.306478411,0.070799887,0.151132524
48,2.400000,0.757231772,0.242747501,0.684709251,0.315279454,0.070492446,0.131138891
49,2.450000,0.754477262,0.245500728,0.698287845,0.301701009,0.065660745,0.132911533
50,2.500000,0.762477279,0.237501070,0.705036044,0.294952780,0.068582267,0.127186865
51,2.550000,0.763454258,0.236523956,0.700099885,0.299888581,0.067044675,0.143091321
52,2.600000,0.777149320,0.222829446,0.700453460,0.299535096,0.068393141,0.142343432
53,2.650000,0.778319836,0.221658602,0.696380973,0.303607583,0.066574752,0.147355139
54,2.700000,0.776520789,0.223456100,0.688271105,0.311716974,0.065125048,0.133856416
55,2.750000,0.758404851,0.241571680,0.681515396,0.318472773,0.074991286,0.143943280
56,2.800000,0.764388204,0.235587969,0.682296991,0.317691058,0.074540019,0.138058752
57,2.850000,0.918098569,0.081891164,0.748575807,0.251412809,0.155892432,0.141429991
58,2.900000,0.881097317,0.118888937,0.722867370,0.277120590,0.153387487,0.146062672
59,2.950000,0.810343862,0.189634889,0.693196058,0.306791484,0.105921745,0.155617893
60,3.000000,0.795594931,0.204380751,0.689575851,0.310411274,0.111438155,0.140631795
61,3.050000,0.791707873,0.208266750,0.692743778,0.307243258,0.094963729,0.150792301
62,3.100000,0.771484017,0.228489146,0.676754117,0.323233008,0.085016459,0.146721959
63,3.150000,0.765302360,0.234669521,0.669799566,0.330187440,0.090504676,0.146159112
64,3.200000,0.756533384,0.243438780,0.667384624,0.332602412,0.088974535,0.163133085
65,3.250000,0.762123406,0.237848714,0.665996611,0.333990306,0.089909881,0.151930749
66,3.300000,0.755144238,0.244826287,0.652679503,0.347307295,0.082600355,0.133234531
67,3.350000,0.756694019,0.243276477,0.657772839,0.342214048,0.087977171,0.139741123
68,3.400000,0.767635822,0.232335374,0.665065289,0.334921241,0.089532733,0.142243683
69,3.450000,0.759393334,0.240576655,0.654030561,0.345955908,0.084000707,0.137592494
70,3.500000,0.754350007,0.245618671,0.646491945,0.353494495,0.079084665,0.134150058
71,3.550000,0.739186108,0.260781586,0.637593150,0.362393081,0.081717104,0.148739189
72,3.600000,0.733640373,0.266327381,0.638742924,0.361243188,0.091769397,0.161441714
73,3.650000,0.769279242,0.230691582,0.653580964,0.346405476,0.106218040,0.145206749
