frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
30,1.500000,0.968752205,0.031240806,0.714934289,0.285058141,0.414956391,0.191309452
31,1.550000,0.944404483,0.055586033,0.733650148,0.266342163,0.402401745,0.192636162
32,1.600000,0.925615251,0.074373558,0.747543871,0.252448320,0.322028816,0.219884962
33,1.650000,0.912470222,0.087518312,0.752797961,0.247194245,0.326074034,0.230494022
34,1.700000,0.908961713,0.091026358,0.774907112,0.225085050,0.301018327,0.214949608
35,1.750000,0.903291821,0.096696064,0.786921918,0.213070258,0.272931218,0.206762999
36,1.800000,0.946269095,0.053723324,0.782847703,0.217144474,0.336406708,0.197325379
37,1.850000,0.930279374,0.069711193,0.793180764,0.206811324,0.321025133,0.224186122
38,1.900000,0.897152841,0.102834381,0.824172974,0.175819173,0.256782681,0.214164853
39,1.950000,0.877834320,0.122152880,0.817596138,0.182396218,0.223837465,0.202057272
40,2.000000,0.874553382,0.125433773,0.813738346,0.186253935,0.209283680,0.216962904
41,2.050000,0.854646921,0.145339131,0.803906143,0.196086019,0.172460616,0.213006347
42,2.100000,0.847700059,0.152285829,0.801782131,0.198209867,0.174701571,0.209398985
43,2.150000,0.831750929,0.168234050,0.797391057,0.202600777,0.166304618,0.188360721
44,2.200000,0.808622062,0.191362649,0.784683168,0.215308726,0.157385170,0.201727927
45,2.250000,0.802326739,0.197657526,0.786279738,0.213712096,0.161575526,0.219749242
46,2.300000,0.809008658,0.190975904,0.794744194,0.205247521,0.183258742,0.209559172
47,2.350000,0.806381285,0.193602696,0.798181236,0.201810449,0.168785393,0.199803025
48,2.400000,0.809126914,0.190856963,0.798785090,0.201206580,0.169417679,0.191057175
49,2.450000,0.781623185,0.218360007,0.769800842,0.230190814,0.153219789,0.184058189
50,2.500000,0.802736938,0.197246552,0.788198650,0.211792931,0.188688338,0.201089829
51,2.550000,0.809737742,0.190245405,0.796423316,0.203568116,0.180742383,0.213741362
52,2.600000,0.805249929,0.194733053,0.794305205,0.205686226,0.153840542,0.204721153
